"","OrganizationIdentifier","OrganizationFormalName","ActivityIdentifier","ActivityTypeCode","ActivityMediaName","ActivityMediaSubdivisionName","ActivityStartDate","ActivityStartTime.Time","ActivityStartTime.TimeZoneCode","ActivityEndDate","ActivityEndTime.Time","ActivityEndTime.TimeZoneCode","ActivityDepthHeightMeasure.MeasureValue","ActivityDepthHeightMeasure.MeasureUnitCode","ActivityDepthAltitudeReferencePointText","ActivityTopDepthHeightMeasure.MeasureValue","ActivityTopDepthHeightMeasure.MeasureUnitCode","ActivityBottomDepthHeightMeasure.MeasureValue","ActivityBottomDepthHeightMeasure.MeasureUnitCode","ProjectIdentifier","ActivityConductingOrganizationText","MonitoringLocationIdentifier","ActivityCommentText","SampleAquifer","HydrologicCondition","HydrologicEvent","SampleCollectionMethod.MethodIdentifier","SampleCollectionMethod.MethodIdentifierContext","SampleCollectionMethod.MethodName","SampleCollectionEquipmentName","ResultDetectionConditionText","CharacteristicName","ResultSampleFractionText","ResultMeasureValue","ResultMeasure.MeasureUnitCode","MeasureQualifierCode","ResultStatusIdentifier","StatisticalBaseCode","ResultValueTypeName","ResultWeightBasisText","ResultTimeBasisText","ResultTemperatureBasisText","ResultParticleSizeBasisText","PrecisionValue","ResultCommentText","USGSPCode","ResultDepthHeightMeasure.MeasureValue","ResultDepthHeightMeasure.MeasureUnitCode","ResultDepthAltitudeReferencePointText","SubjectTaxonomicName","SampleTissueAnatomyName","ResultAnalyticalMethod.MethodIdentifier","ResultAnalyticalMethod.MethodIdentifierContext","ResultAnalyticalMethod.MethodName","MethodDescriptionText","LaboratoryName","AnalysisStartDate","ResultLaboratoryCommentText","DetectionQuantitationLimitTypeName","DetectionQuantitationLimitMeasure.MeasureValue","DetectionQuantitationLimitMeasure.MeasureUnitCode","PreparationStartDate","ProviderName","County"
"539","USGS-MI","USGS Michigan Water Science Center","nwismi.01.01300386","Sample-Routine","Water","Surface Water","2012-12-04","12:03:00","EST","","","",NA,"","",NA,"",NA,"","","U.S. Geological Survey-Water Resources Discipline","USGS-0414826545","","","Stable, normal stage","Storm","USGS","USGS","USGS","Unknown","","Chloride","Dissolved",13.1,"mg/l",NA,"Accepted",NA,"Actual",NA,NA,NA,NA,NA,"",940,NA,NA,NA,NA,NA,"","","","","University of Wisconsin Extension","","","",NA,"","","NWIS","Genesee"
"540","USGS-MI","USGS Michigan Water Science Center","nwismi.01.01300387","Sample-Composite Without Parents","Water","Surface Water","2012-12-09","16:00:00","EST","2012-12-10","20:15:59","EST",NA,"","",NA,"",NA,"","","U.S. Geological Survey-Water Resources Discipline","USGS-0414826545","","","Stable, normal stage","Storm","USGS","USGS","USGS","Unknown","","Chloride","Dissolved",17.8,"mg/l",NA,"Accepted",NA,"Actual",NA,NA,NA,NA,NA,"",940,NA,NA,NA,NA,NA,"","","","","University of Wisconsin Extension","","","",NA,"","","NWIS","Genesee"
"541","USGS-MI","USGS Michigan Water Science Center","nwismi.01.01200830","Sample-Routine","Water","Surface Water","2012-05-04","00:37:00","EST","","","",NA,"","",NA,"",NA,"","","U.S. Geological Survey-Water Resources Discipline","USGS-0414826545","","","Stable, normal stage","Storm","USGS","USGS","USGS","Unknown","","Chloride","Dissolved",2,"mg/l",NA,"Accepted",NA,"Actual",NA,NA,NA,NA,NA,"",940,NA,NA,NA,NA,NA,"","","","","University of Wisconsin Extension","","holding time exceeded.","",NA,"","","NWIS","Genesee"
"542","USGS-MI","USGS Michigan Water Science Center","nwismi.01.01200836","Sample-Routine","Water","Surface Water","2012-05-06","08:52:00","EST","","","",NA,"","",NA,"",NA,"","","U.S. Geological Survey-Water Resources Discipline","USGS-0414826545","","","Stable, normal stage","Storm","USGS","USGS","USGS","Unknown","","Chloride","Dissolved",8.6,"mg/l",NA,"Accepted",NA,"Actual",NA,NA,NA,NA,NA,"",940,NA,NA,NA,NA,NA,"","","","","University of Wisconsin Extension","","holding time exceeded.","",NA,"","","NWIS","Genesee"
"543","USGS-MI","USGS Michigan Water Science Center","nwismi.01.01200837","Sample-Routine","Water","Surface Water","2012-05-07","13:47:00","EST","","","",NA,"","",NA,"",NA,"","","U.S. Geological Survey-Water Resources Discipline","USGS-0414826545","","","Stable, normal stage","Storm","USGS","USGS","USGS","Unknown","","Chloride","Dissolved",4.8,"mg/l",NA,"Accepted",NA,"Actual",NA,NA,NA,NA,NA,"",940,NA,NA,NA,NA,NA,"","","","","University of Wisconsin Extension","","holding time exceeded.","",NA,"","","NWIS","Genesee"
"544","USGS-MI","USGS Michigan Water Science Center","nwismi.01.01200857","Sample-Composite Without Parents","Water","Surface Water","2012-08-09","09:25:00","EST","","","",NA,"","",NA,"",NA,"","","U.S. Geological Survey-Water Resources Discipline","USGS-0414826545","","","Stable, normal stage","Storm","USGS","USGS","USGS","Unknown","","Chloride","Dissolved",9.4,"mg/l",NA,"Accepted",NA,"Actual",NA,NA,NA,NA,NA,"",940,NA,NA,NA,NA,NA,"","","","","University of Wisconsin Extension","","","",NA,"","","NWIS","Genesee"
"545","USGS-MI","USGS Michigan Water Science Center","nwismi.01.01200813","Sample-Routine","Water","Surface Water","2012-04-26","11:40:00","EST","","","",NA,"","",NA,"",NA,"","","U.S. Geological Survey-Water Resources Discipline","USGS-0414826545","","","Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown","","Chloride","Dissolved",17.4,"mg/l",NA,"Accepted",NA,"Actual",NA,NA,NA,NA,NA,"",940,NA,NA,NA,NA,NA,"","","","","University of Wisconsin Extension","","","",NA,"","","NWIS","Genesee"
"546","USGS-MI","USGS Michigan Water Science Center","nwismi.01.01200833","Sample-Routine","Water","Surface Water","2012-05-04","16:47:00","EST","","","",NA,"","",NA,"",NA,"","","U.S. Geological Survey-Water Resources Discipline","USGS-0414826545","","","Stable, normal stage","Storm","USGS","USGS","USGS","Unknown","","Chloride","Dissolved",4.7,"mg/l",NA,"Accepted",NA,"Actual",NA,NA,NA,NA,NA,"",940,NA,NA,NA,NA,NA,"","","","","University of Wisconsin Extension","","holding time exceeded.","",NA,"","","NWIS","Genesee"
"547","USGS-MI","USGS Michigan Water Science Center","nwismi.01.01200835","Sample-Routine","Water","Surface Water","2012-05-05","22:52:00","EST","","","",NA,"","",NA,"",NA,"","","U.S. Geological Survey-Water Resources Discipline","USGS-0414826545","","","Stable, normal stage","Storm","USGS","USGS","USGS","Unknown","","Chloride","Dissolved",7.9,"mg/l",NA,"Accepted",NA,"Actual",NA,NA,NA,NA,NA,"",940,NA,NA,NA,NA,NA,"","","","","University of Wisconsin Extension","","holding time exceeded.","",NA,"","","NWIS","Genesee"
"548","USGS-MI","USGS Michigan Water Science Center","nwismi.01.01200844","Sample-Composite Without Parents","Water","Surface Water","2012-07-26","06:35:00","EST","","","",NA,"","",NA,"",NA,"","","U.S. Geological Survey-Water Resources Discipline","USGS-0414826545","","","Stable, normal stage","Storm","USGS","USGS","USGS","Unknown","","Chloride","Dissolved",12.3,"mg/l",NA,"Accepted",NA,"Actual",NA,NA,NA,NA,NA,"",940,NA,NA,NA,NA,NA,"","","","","University of Wisconsin Extension","","","",NA,"","","NWIS","Genesee"
"549","USGS-MI","USGS Michigan Water Science Center","nwismi.01.01200858","Sample-Composite Without Parents","Water","Surface Water","2012-08-12","08:50:00","EST","","","",NA,"","",NA,"",NA,"","","U.S. Geological Survey-Water Resources Discipline","USGS-0414826545","","","Stable, normal stage","Storm","USGS","USGS","USGS","Unknown","","Chloride","Dissolved",20,"mg/l",NA,"Accepted",NA,"Actual",NA,NA,NA,NA,NA,"",940,NA,NA,NA,NA,NA,"","","","","University of Wisconsin Extension","","","",NA,"","","NWIS","Genesee"
"550","USGS-MI","USGS Michigan Water Science Center","nwismi.01.01200828","Sample-Routine","Water","Surface Water","2012-05-04","16:49:00","EST","","","",NA,"","",NA,"",NA,"","","U.S. Geological Survey-Water Resources Discipline","USGS-0414826544","","","Stable, normal stage","Storm","USGS","USGS","USGS","Unknown","","Chloride","Dissolved",4.3,"mg/l",NA,"Accepted",NA,"Actual",NA,NA,NA,NA,NA,"",940,NA,NA,NA,NA,NA,"","","","","University of Wisconsin Extension","","holding time exceeded.","",NA,"","","NWIS","Genesee"
"551","USGS-MI","USGS Michigan Water Science Center","nwismi.01.01200823","Sample-Routine","Water","Surface Water","2012-05-03","23:39:00","EST","","","",NA,"","",NA,"",NA,"","","U.S. Geological Survey-Water Resources Discipline","USGS-0414826544","","","Stable, normal stage","Storm","USGS","USGS","USGS","Unknown","Not Detected","Chloride","Dissolved",NA,"",NA,"Accepted",NA,"Actual",NA,NA,NA,NA,NA,"",940,NA,NA,NA,NA,NA,"","","","","University of Wisconsin Extension","","","Historical Lower Reporting Limit",0.5,"mg/l","","NWIS","Genesee"
"552","USGS-MI","USGS Michigan Water Science Center","nwismi.01.01200826","Sample-Routine","Water","Surface Water","2012-05-04","01:04:00","EST","","","",NA,"","",NA,"",NA,"","","U.S. Geological Survey-Water Resources Discipline","USGS-0414826544","","","Stable, normal stage","Storm","USGS","USGS","USGS","Unknown","","Chloride","Dissolved",2.2,"mg/l",NA,"Accepted",NA,"Actual",NA,NA,NA,NA,NA,"",940,NA,NA,NA,NA,NA,"","","","","University of Wisconsin Extension","","holding time exceeded.","",NA,"","","NWIS","Genesee"
"553","USGS-MI","USGS Michigan Water Science Center","nwismi.01.01200829","Sample-Routine","Water","Surface Water","2012-05-05","10:49:00","EST","","","",NA,"","",NA,"",NA,"","","U.S. Geological Survey-Water Resources Discipline","USGS-0414826544","","","Stable, normal stage","Storm","USGS","USGS","USGS","Unknown","","Chloride","Dissolved",6.7,"mg/l",NA,"Accepted",NA,"Actual",NA,NA,NA,NA,NA,"",940,NA,NA,NA,NA,NA,"","","","","University of Wisconsin Extension","","holding time exceeded.","",NA,"","","NWIS","Genesee"
"554","USGS-MI","USGS Michigan Water Science Center","nwismi.01.01200825","Sample-Routine","Water","Surface Water","2012-05-04","00:04:00","EST","","","",NA,"","",NA,"",NA,"","","U.S. Geological Survey-Water Resources Discipline","USGS-0414826544","","","Stable, normal stage","Storm","USGS","USGS","USGS","Unknown","","Chloride","Dissolved",1.9,"mg/l",NA,"Accepted",NA,"Actual",NA,NA,NA,NA,NA,"",940,NA,NA,NA,NA,NA,"","","","","University of Wisconsin Extension","","holding time exceeded.","",NA,"","","NWIS","Genesee"
"555","USGS-MI","USGS Michigan Water Science Center","nwismi.01.01200827","Sample-Routine","Water","Surface Water","2012-05-04","06:49:00","EST","","","",NA,"","",NA,"",NA,"","","U.S. Geological Survey-Water Resources Discipline","USGS-0414826544","","","Stable, normal stage","Storm","USGS","USGS","USGS","Unknown","","Chloride","Dissolved",7.6,"mg/l",NA,"Accepted",NA,"Actual",NA,NA,NA,NA,NA,"",940,NA,NA,NA,NA,NA,"","","","","University of Wisconsin Extension","","holding time exceeded.","",NA,"","","NWIS","Genesee"
"556","USGS-MI","USGS Michigan Water Science Center","nwismi.01.01200824","Sample-Routine","Water","Surface Water","2012-05-03","23:51:00","EST","","","",NA,"","",NA,"",NA,"","","U.S. Geological Survey-Water Resources Discipline","USGS-0414826544","","","Stable, normal stage","Storm","USGS","USGS","USGS","Unknown","","Chloride","Dissolved",1.2,"mg/l",NA,"Accepted",NA,"Actual",NA,NA,NA,NA,NA,"",940,NA,NA,NA,NA,NA,"","","","","University of Wisconsin Extension","","holding time exceeded.","",NA,"","","NWIS","Genesee"
"557","USGS-MI","USGS Michigan Water Science Center","nwismi.01.99000093","Sample-Routine","Water","Groundwater","1990-05-08","09:20:00","EDT","","","",NA,"","",NA,"",NA,"","","U.S. Geological Survey-Water Resources Discipline","USGS-430730083422502","RR SP C;VALUE DUP'D","","Not determined","Routine sample","USGS","USGS","USGS","Unknown","","Chloride","Dissolved",15,"mg/l",NA,"Historical",NA,"Actual",NA,NA,NA,NA,NA,"",940,NA,NA,NA,NA,NA,"IC022","USGS","Anions, wf, IC","USGS OF 93-125, p 19","","","","",NA,"","","NWIS","Genesee"
"558","USGS-MI","USGS Michigan Water Science Center","nwismi.01.01600205","Sample-Routine","Water","Surface Water","2015-12-10","12:55:00","EST","","","",NA,"","",NA,"",NA,"","","U.S. Geological Survey-Water Resources Discipline","USGS-0414826545","1","","Stable, normal stage","Routine sample","USGS","USGS","USGS","Unknown","","Chloride","Dissolved",37.7,"mg/l",NA,"Preliminary",NA,"Actual",NA,NA,NA,NA,NA,"",940,NA,NA,NA,NA,NA,"FCN01","USGS","","","University of Wisconsin Extension","2015-12-18","","",NA,"","2015-12-17","NWIS","Genesee"
"559","21MICH_WQX","Michigan DEQ","21MICH_WQX-820017_5/26/2011","Sample-Routine","Water","","2011-05-26","10:00:00","EDT","","","",NA,"",NA,NA,NA,NA,NA,"WCMP","","21MICH_WQX-820017","","","","","MDEQ_SCP","MDEQQAPP","Surface Water Sample Collection QAPP","Van Dorn Bottle","","Chloride","Total",9.6,"mg/l",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"325.1","USEPA","Chloride by Colorimetric Analysis I","https://www.nemi.gov/methods/method_summary/5771/","","","","",NA,"",NA,"STORET","Wayne"
"560","21MICH_WQX","Michigan DEQ","21MICH_WQX-821523_5/25/2011","Sample-Routine","Water","","2011-05-25","10:00:00","EDT","","","",NA,"",NA,NA,NA,NA,NA,"WCMP","","21MICH_WQX-821523","","","","","MDEQ_SCP","MDEQQAPP","Surface Water Sample Collection QAPP","Van Dorn Bottle","","Chloride","Total",47,"mg/l",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"325.1","USEPA","Chloride by Colorimetric Analysis I","https://www.nemi.gov/methods/method_summary/5771/","","","","",NA,"",NA,"STORET","Wayne"
"561","21MICH_WQX","Michigan DEQ","21MICH_WQX-820414_6/15/2011","Sample-Routine","Water","","2011-06-15","10:00:00","EDT","","","",NA,"",NA,NA,NA,NA,NA,"WCMP","","21MICH_WQX-820414","","","","","MDEQ_SCP","MDEQQAPP","Surface Water Sample Collection QAPP","Van Dorn Bottle","","Chloride","Total",9,"mg/l",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"325.1","USEPA","Chloride by Colorimetric Analysis I","https://www.nemi.gov/methods/method_summary/5771/","","","","",NA,"",NA,"STORET","Wayne"
"562","21MICH_WQX","Michigan DEQ","21MICH_WQX-820017_8/22/2011","Sample-Routine","Water","","2011-08-22","10:00:00","EDT","","","",NA,"",NA,NA,NA,NA,NA,"WCMP","","21MICH_WQX-820017","","","","","MDEQ_SCP","MDEQQAPP","Surface Water Sample Collection QAPP","Van Dorn Bottle","","Chloride","Total",9,"mg/l",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"325.1","USEPA","Chloride by Colorimetric Analysis I","https://www.nemi.gov/methods/method_summary/5771/","","","","",NA,"",NA,"STORET","Wayne"
"563","21MICH_WQX","Michigan DEQ","21MICH_WQX-820017_11/8/2011","Sample-Routine","Water","","2011-11-08","10:00:00","EDT","","","",NA,"",NA,NA,NA,NA,NA,"WCMP","","21MICH_WQX-820017","","","","","MDEQ_SCP","MDEQQAPP","Surface Water Sample Collection QAPP","Van Dorn Bottle","","Chloride","Total",6.6,"mg/l",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"325.1","USEPA","Chloride by Colorimetric Analysis I","https://www.nemi.gov/methods/method_summary/5771/","","","","",NA,"",NA,"STORET","Wayne"
"564","21MICH_WQX","Michigan DEQ","21MICH_WQX-820017_9/21/2011","Sample-Routine","Water","","2011-09-21","10:00:00","EDT","","","",NA,"",NA,NA,NA,NA,NA,"WCMP","","21MICH_WQX-820017","","","","","MDEQ_SCP","MDEQQAPP","Surface Water Sample Collection QAPP","Van Dorn Bottle","","Chloride","Total",9,"mg/l",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"325.1","USEPA","Chloride by Colorimetric Analysis I","https://www.nemi.gov/methods/method_summary/5771/","","","","",NA,"",NA,"STORET","Wayne"
"565","21MICH_WQX","Michigan DEQ","21MICH_WQX-820414_5/26/2011","Sample-Routine","Water","","2011-05-26","10:00:00","EDT","","","",NA,"",NA,NA,NA,NA,NA,"WCMP","","21MICH_WQX-820414","","","","","MDEQ_SCP","MDEQQAPP","Surface Water Sample Collection QAPP","Van Dorn Bottle","","Chloride","Total",7.2,"mg/l",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"325.1","USEPA","Chloride by Colorimetric Analysis I","https://www.nemi.gov/methods/method_summary/5771/","","","","",NA,"",NA,"STORET","Wayne"
"566","21MICH_WQX","Michigan DEQ","21MICH_WQX-821523_7/14/2011","Sample-Routine","Water","","2011-07-14","10:00:00","EDT","","","",NA,"",NA,NA,NA,NA,NA,"WCMP","","21MICH_WQX-821523","","","","","MDEQ_SCP","MDEQQAPP","Surface Water Sample Collection QAPP","Van Dorn Bottle","","Chloride","Total",42,"mg/l",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"325.1","USEPA","Chloride by Colorimetric Analysis I","https://www.nemi.gov/methods/method_summary/5771/","","","","",NA,"",NA,"STORET","Wayne"
"567","21MICH_WQX","Michigan DEQ","21MICH_WQX-820414_7/13/2011","Sample-Routine","Water","","2011-07-13","10:00:00","EDT","","","",NA,"",NA,NA,NA,NA,NA,"WCMP","","21MICH_WQX-820414","","","","","MDEQ_SCP","MDEQQAPP","Surface Water Sample Collection QAPP","Van Dorn Bottle","","Chloride","Total",7.1,"mg/l",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"325.1","USEPA","Chloride by Colorimetric Analysis I","https://www.nemi.gov/methods/method_summary/5771/","","","","",NA,"",NA,"STORET","Wayne"
"568","21MICH_WQX","Michigan DEQ","21MICH_WQX-820017_4/28/2011","Sample-Routine","Water","","2011-04-28","10:00:00","EDT","","","",NA,"",NA,NA,NA,NA,NA,"WCMP","","21MICH_WQX-820017","","","","","MDEQ_SCP","MDEQQAPP","Surface Water Sample Collection QAPP","Van Dorn Bottle","","Chloride","Total",12,"mg/l",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"325.1","USEPA","Chloride by Colorimetric Analysis I","https://www.nemi.gov/methods/method_summary/5771/","","","","",NA,"",NA,"STORET","Wayne"
"569","21MICH_WQX","Michigan DEQ","21MICH_WQX-820414_11/8/2011","Sample-Routine","Water","","2011-11-08","10:00:00","EDT","","","",NA,"",NA,NA,NA,NA,NA,"WCMP","","21MICH_WQX-820414","","","","","MDEQ_SCP","MDEQQAPP","Surface Water Sample Collection QAPP","Van Dorn Bottle","","Chloride","Total",6.3,"mg/l",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"325.1","USEPA","Chloride by Colorimetric Analysis I","https://www.nemi.gov/methods/method_summary/5771/","","","","",NA,"",NA,"STORET","Wayne"
"570","21MICH_WQX","Michigan DEQ","21MICH_WQX-820070_3/28/2011","Sample-Routine","Water","","2011-03-28","10:00:00","EDT","","","",NA,"",NA,NA,NA,NA,NA,"WCMP","","21MICH_WQX-820070","","","","","MDEQ_SCP","MDEQQAPP","Surface Water Sample Collection QAPP","Van Dorn Bottle","","Chloride","Total",24,"mg/l",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"325.1","USEPA","Chloride by Colorimetric Analysis I","https://www.nemi.gov/methods/method_summary/5771/","","","","",NA,"",NA,"STORET","Wayne"
"571","21MICH_WQX","Michigan DEQ","21MICH_WQX-820414_9/21/2011","Sample-Routine","Water","","2011-09-21","10:00:00","EDT","","","",NA,"",NA,NA,NA,NA,NA,"WCMP","","21MICH_WQX-820414","","","","","MDEQ_SCP","MDEQQAPP","Surface Water Sample Collection QAPP","Van Dorn Bottle","","Chloride","Total",7,"mg/l",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"325.1","USEPA","Chloride by Colorimetric Analysis I","https://www.nemi.gov/methods/method_summary/5771/","","","","",NA,"",NA,"STORET","Wayne"
"572","21MICH_WQX","Michigan DEQ","21MICH_WQX-820017_6/15/2011","Sample-Routine","Water","","2011-06-15","10:00:00","EDT","","","",NA,"",NA,NA,NA,NA,NA,"WCMP","","21MICH_WQX-820017","","","","","MDEQ_SCP","MDEQQAPP","Surface Water Sample Collection QAPP","Van Dorn Bottle","","Chloride","Total",9,"mg/l",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"325.1","USEPA","Chloride by Colorimetric Analysis I","https://www.nemi.gov/methods/method_summary/5771/","","","","",NA,"",NA,"STORET","Wayne"
"573","21MICH_WQX","Michigan DEQ","21MICH_WQX-821523_9/15/2011","Sample-Routine","Water","","2011-09-15","10:00:00","EDT","","","",NA,"",NA,NA,NA,NA,NA,"WCMP","","21MICH_WQX-821523","","","","","MDEQ_SCP","MDEQQAPP","Surface Water Sample Collection QAPP","Van Dorn Bottle","","Chloride","Total",42,"mg/l",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"325.1","USEPA","Chloride by Colorimetric Analysis I","https://www.nemi.gov/methods/method_summary/5771/","","","","",NA,"",NA,"STORET","Wayne"
"574","21MICH_WQX","Michigan DEQ","21MICH_WQX-820070_8/2/2011","Sample-Routine","Water","","2011-08-02","10:00:00","EDT","","","",NA,"",NA,NA,NA,NA,NA,"WCMP","","21MICH_WQX-820070","","","","","MDEQ_SCP","MDEQQAPP","Surface Water Sample Collection QAPP","Van Dorn Bottle","","Chloride","Total",74,"mg/l",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"325.1","USEPA","Chloride by Colorimetric Analysis I","https://www.nemi.gov/methods/method_summary/5771/","","","","",NA,"",NA,"STORET","Wayne"
"575","21MICH_WQX","Michigan DEQ","21MICH_WQX-821523_11/8/2011","Sample-Routine","Water","","2011-11-08","10:00:00","EDT","","","",NA,"",NA,NA,NA,NA,NA,"WCMP","","21MICH_WQX-821523","","","","","MDEQ_SCP","MDEQQAPP","Surface Water Sample Collection QAPP","Van Dorn Bottle","","Chloride","Total",41,"mg/l",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"325.1","USEPA","Chloride by Colorimetric Analysis I","https://www.nemi.gov/methods/method_summary/5771/","","","","",NA,"",NA,"STORET","Wayne"
"576","21MICH_WQX","Michigan DEQ","21MICH_WQX-820414_10/24/2011","Sample-Routine","Water","","2011-10-24","10:00:00","EDT","","","",NA,"",NA,NA,NA,NA,NA,"WCMP","","21MICH_WQX-820414","","","","","MDEQ_SCP","MDEQQAPP","Surface Water Sample Collection QAPP","Van Dorn Bottle","","Chloride","Total",12,"mg/l",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"325.1","USEPA","Chloride by Colorimetric Analysis I","https://www.nemi.gov/methods/method_summary/5771/","","","","",NA,"",NA,"STORET","Wayne"
"577","21MICH_WQX","Michigan DEQ","21MICH_WQX-820414_8/22/2011","Sample-Routine","Water","","2011-08-22","10:00:00","EDT","","","",NA,"",NA,NA,NA,NA,NA,"WCMP","","21MICH_WQX-820414","","","","","MDEQ_SCP","MDEQQAPP","Surface Water Sample Collection QAPP","Van Dorn Bottle","","Chloride","Total",6.9,"mg/l",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"325.1","USEPA","Chloride by Colorimetric Analysis I","https://www.nemi.gov/methods/method_summary/5771/","","","","",NA,"",NA,"STORET","Wayne"
"578","21MICH_WQX","Michigan DEQ","21MICH_WQX-820017_7/13/2011","Sample-Routine","Water","","2011-07-13","10:00:00","EDT","","","",NA,"",NA,NA,NA,NA,NA,"WCMP","","21MICH_WQX-820017","","","","","MDEQ_SCP","MDEQQAPP","Surface Water Sample Collection QAPP","Van Dorn Bottle","","Chloride","Total",8.4,"mg/l",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"325.1","USEPA","Chloride by Colorimetric Analysis I","https://www.nemi.gov/methods/method_summary/5771/","","","","",NA,"",NA,"STORET","Wayne"
"579","21MICH_WQX","Michigan DEQ","21MICH_WQX-820017_10/24/2011","Sample-Routine","Water","","2011-10-24","10:00:00","EDT","","","",NA,"",NA,NA,NA,NA,NA,"WCMP","","21MICH_WQX-820017","","","","","MDEQ_SCP","MDEQQAPP","Surface Water Sample Collection QAPP","Van Dorn Bottle","","Chloride","Total",7.4,"mg/l",NA,"Final",NA,"Actual",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"325.1","USEPA","Chloride by Colorimetric Analysis I","https://www.nemi.gov/methods/method_summary/5771/","","","","",NA,"",NA,"STORET","Wayne"
"580","21MICH","Michigan Department of Environmental Quality","21MICH-WATERQUALITY-2005CONV       -0","Sample","Water","","2005-06-15","00:00:00","","","","",NA,"",NA,NA,NA,NA,NA,"WCTMP   ","","21MICH-820017","","","","","GRAB      ","GRAB      ","GRAB      ","WSWB      ","","Chloride","Total",8,"mg/l      ",NA,"",NA,"Actual    ",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"MDEQ-EPA","21MICH","","","","","","",NA,"",NA,"STORET","Wayne"
"581","21MICH","Michigan Department of Environmental Quality","21MICH-WATERQUALITY-2005CONV       -0","Sample","Water","","2005-08-17","00:00:00","","","","",NA,"",NA,NA,NA,NA,NA,"WCTMP   ","","21MICH-820017","","","","","GRAB      ","GRAB      ","GRAB      ","WSWB      ","","Chloride","Total",8,"mg/l      ",NA,"",NA,"Actual    ",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"MDEQ-EPA","21MICH","","","","","","",NA,"",NA,"STORET","Wayne"
"582","21MICH","Michigan Department of Environmental Quality","21MICH-WATERQUALITY-2005CONV       -0","Sample","Water","","2005-09-21","00:00:00","","","","",NA,"",NA,NA,NA,NA,NA,"WCTMP   ","","21MICH-820017","","","","","GRAB      ","GRAB      ","GRAB      ","WSWB      ","","Chloride","Total",7,"mg/l      ",NA,"",NA,"Actual    ",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"MDEQ-EPA","21MICH","","","","","","",NA,"",NA,"STORET","Wayne"
"583","21MICH","Michigan Department of Environmental Quality","21MICH-WATERQUALITY-2005CONV       -0","Sample","Water","","2005-11-30","00:00:00","","","","",NA,"",NA,NA,NA,NA,NA,"WCTMP   ","","21MICH-820017","","","","","GRAB      ","GRAB      ","GRAB      ","WSWB      ","","Chloride","Total",17,"mg/l      ",NA,"",NA,"Actual    ",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"MDEQ-EPA","21MICH","","","","","","",NA,"",NA,"STORET","Wayne"
"584","21MICH","Michigan Department of Environmental Quality","21MICH-WATERQUALITY-2005CONV       -0","Sample","Water","","2005-07-20","00:00:00","","","","",NA,"",NA,NA,NA,NA,NA,"WCTMP   ","","21MICH-820017","","","","","GRAB      ","GRAB      ","GRAB      ","WSWB      ","","Chloride","Total",8,"mg/l      ",NA,"",NA,"Actual    ",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"MDEQ-EPA","21MICH","","","","","","",NA,"",NA,"STORET","Wayne"
