OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ProjectIdentifier,ActivityConductingOrganizationText,MonitoringLocationIdentifier,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionEquipmentName,ResultDetectionConditionText,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,PrecisionValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,PreparationStartDate,ProviderName
USGS-MI,USGS Michigan Water Science Center,nwismi.01.01300419,Sample-Routine,Water,Surface Water,2013-01-30,22:45:00,EST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-041482663,,,"Stable, normal stage",Storm,USGS,USGS,USGS,Unknown,,Chloride,Dissolved,23.2,mg/l,,Accepted,,Actual,,,,,,,00940,,,,,,,,,,University of Wisconsin Extension,,,,,,,NWIS
USGS-MI,USGS Michigan Water Science Center,nwismi.01.01300409,Sample-Routine,Water,Surface Water,2013-01-28,12:41:00,EST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-041482663,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,,Chloride,Dissolved,116,mg/l,,Accepted,,Actual,,,,,,,00940,,,,,,,,,,University of Wisconsin Extension,,,,,,,NWIS
USGS-MI,USGS Michigan Water Science Center,nwismi.01.01300404,Sample-Routine,Water,Surface Water,2013-01-13,14:25:00,EST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-041482663,,,"Stable, normal stage",Storm,USGS,USGS,USGS,Unknown,,Chloride,Dissolved,46.8,mg/l,,Accepted,,Actual,,,,,,,00940,,,,,,,,,,University of Wisconsin Extension,,,,,,,NWIS
USGS-MI,USGS Michigan Water Science Center,nwismi.01.01300424,Sample-Routine,Water,Surface Water,2013-02-21,09:41:00,EST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-041482663,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,,Chloride,Dissolved,66.1,mg/l,,Accepted,,Actual,,,,,,,00940,,,,,,,,,,University of Wisconsin Extension,,,,,,,NWIS
USGS-MI,USGS Michigan Water Science Center,nwismi.01.01300401,Sample-Routine,Water,Surface Water,2013-01-11,21:25:00,EST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-041482663,,,"Stable, normal stage",Storm,USGS,USGS,USGS,Unknown,,Chloride,Dissolved,37.5,mg/l,,Accepted,,Actual,,,,,,,00940,,,,,,,,,,University of Wisconsin Extension,,,,,,,NWIS
USGS-MI,USGS Michigan Water Science Center,nwismi.01.01301032,Sample-Routine,Water,Surface Water,2013-06-29,00:05:00,EST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-041482663,,,"Stable, normal stage",Storm,USGS,USGS,USGS,Unknown,,Chloride,Dissolved,37.3,mg/l,,Accepted,,Actual,,,,,,,00940,,,,,,,,,,University of Wisconsin Extension,,,,,,,NWIS
USGS-MI,USGS Michigan Water Science Center,nwismi.01.01301036,Sample-Routine,Water,Surface Water,2013-07-17,09:45:00,EST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-041482663,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,,Chloride,Dissolved,61.8,mg/l,,Accepted,,Actual,,,,,,,00940,,,,,,,,,,University of Wisconsin Extension,,,,,,,NWIS
USGS-MI,USGS Michigan Water Science Center,nwismi.01.01400098,Sample-Routine,Water,Surface Water,2013-11-01,11:45:00,EST,,,,,,,,,,,,U.S. Geological Survey,USGS-041482663,,,"Stable, normal stage",Storm,USGS,USGS,USGS,Unknown,,Chloride,Dissolved,151,mg/l,,Accepted,,Actual,,,,,,,00940,,,,,,,,,,University of Wisconsin Extension,,,,,,,NWIS
USGS-MI,USGS Michigan Water Science Center,nwismi.01.01301023,Sample-Routine,Water,Surface Water,2013-06-13,04:05:00,EST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-041482663,,,"Stable, normal stage",Storm,USGS,USGS,USGS,Unknown,,Chloride,Dissolved,20.2,mg/l,,Accepted,,Actual,,,,,,,00940,,,,,,,,,,University of Wisconsin Extension,,,,,,,NWIS
USGS-MI,USGS Michigan Water Science Center,nwismi.01.01301026,Sample-Routine,Water,Surface Water,2013-06-14,04:35:00,EST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-041482663,,,"Stable, normal stage",Storm,USGS,USGS,USGS,Unknown,,Chloride,Dissolved,26.9,mg/l,,Accepted,,Actual,,,,,,,00940,,,,,,,,,,University of Wisconsin Extension,,,,,,,NWIS
USGS-MI,USGS Michigan Water Science Center,nwismi.01.01301027,Sample-Routine,Water,Surface Water,2013-06-26,09:45:00,EST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-041482663,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,,Chloride,Dissolved,61.0,mg/l,,Accepted,,Actual,,,,,,,00940,,,,,,,,,,University of Wisconsin Extension,,,,,,,NWIS
USGS-MI,USGS Michigan Water Science Center,nwismi.01.01301028,Sample-Routine,Water,Surface Water,2013-06-27,17:35:00,EST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-041482663,,,"Stable, normal stage",Storm,USGS,USGS,USGS,Unknown,,Chloride,Dissolved,56.8,mg/l,,Accepted,,Actual,,,,,,,00940,,,,,,,,,,University of Wisconsin Extension,,,,,,,NWIS
USGS-MI,USGS Michigan Water Science Center,nwismi.01.01301029,Sample-Routine,Water,Surface Water,2013-06-27,20:05:00,EST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-041482663,,,"Stable, normal stage",Storm,USGS,USGS,USGS,Unknown,,Chloride,Dissolved,23.6,mg/l,,Accepted,,Actual,,,,,,,00940,,,,,,,,,,University of Wisconsin Extension,,,,,,,NWIS
USGS-MI,USGS Michigan Water Science Center,nwismi.01.01301031,Sample-Routine,Water,Surface Water,2013-06-28,16:05:00,EST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-041482663,,,"Stable, normal stage",Storm,USGS,USGS,USGS,Unknown,,Chloride,Dissolved,38.6,mg/l,,Accepted,,Actual,,,,,,,00940,,,,,,,,,,University of Wisconsin Extension,,,,,,,NWIS
USGS-MI,USGS Michigan Water Science Center,nwismi.01.01301030,Sample-Routine,Water,Surface Water,2013-06-28,00:05:00,EST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-041482663,,,"Stable, normal stage",Storm,USGS,USGS,USGS,Unknown,,Chloride,Dissolved,36.8,mg/l,,Accepted,,Actual,,,,,,,00940,,,,,,,,,,University of Wisconsin Extension,,,,,,,NWIS
USGS-MI,USGS Michigan Water Science Center,nwismi.01.01301022,Sample-Routine,Water,Surface Water,2013-06-13,00:50:00,EST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-041482663,,,"Stable, normal stage",Storm,USGS,USGS,USGS,Unknown,,Chloride,Dissolved,36.8,mg/l,,Accepted,,Actual,,,,,,,00940,,,,,,,,,,University of Wisconsin Extension,,,,,,,NWIS
USGS-MI,USGS Michigan Water Science Center,nwismi.01.01301039,Sample-Routine,Water,Surface Water,2013-08-19,11:05:00,EST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-041482663,,,"Stable, normal stage",Routine sample,40,USGS parameter code 82398,Multiple verticals,US DH-95 plastic bottle,,Chloride,Dissolved,75.1,mg/l,,Accepted,,Actual,,,,,,,00940,,,,,,,,,,University of Wisconsin Extension,,,,,,,NWIS
USGS-MI,USGS Michigan Water Science Center,nwismi.01.01400173,Sample-Routine,Water,Surface Water,2013-12-23,08:55:00,EST,,,,,,,,,,,,U.S. Geological Survey,USGS-041482663,,,"Stable, normal stage",Storm,USGS,USGS,USGS,Unknown,,Chloride,Dissolved,82.6,mg/l,,Accepted,,Actual,,,,,,,00940,,,,,,,,,,University of Wisconsin Extension,,,,,,,NWIS
USGS-MI,USGS Michigan Water Science Center,nwismi.01.01300825,Sample-Routine,Water,Surface Water,2013-04-10,12:15:00,EST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-041482663,,,"Stable, normal stage",Storm,USGS,USGS,USGS,Unknown,,Chloride,Dissolved,23.8,mg/l,,Accepted,,Actual,,,,,,,00940,,,,,,,,,,University of Wisconsin Extension,,,,,,,NWIS
USGS-MI,USGS Michigan Water Science Center,nwismi.01.01400161,Sample-Routine,Water,Surface Water,2013-11-13,11:30:00,EST,,,,,,,,,,,,U.S. Geological Survey,USGS-041482663,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,,Chloride,Dissolved,138,mg/l,,Accepted,,Actual,,,,,,,00940,,,,,,,,,,University of Wisconsin Extension,,,,,,,NWIS
USGS-MI,USGS Michigan Water Science Center,nwismi.01.01400171,Sample-Routine,Water,Surface Water,2013-12-22,04:55:00,EST,,,,,,,,,,,,U.S. Geological Survey,USGS-041482663,,,"Stable, normal stage",Storm,USGS,USGS,USGS,Unknown,,Chloride,Dissolved,179,mg/l,,Accepted,,Actual,,,,,,,00940,,,,,,,,,,University of Wisconsin Extension,,,,,,,NWIS
USGS-MI,USGS Michigan Water Science Center,nwismi.01.01400093,Sample-Routine,Water,Surface Water,2013-10-31,08:45:00,EST,,,,,,,,,,,,U.S. Geological Survey,USGS-041482663,,,"Stable, normal stage",Storm,USGS,USGS,USGS,Unknown,,Chloride,Dissolved,74.6,mg/l,,Accepted,,Actual,,,,,,,00940,,,,,,,,,,University of Wisconsin Extension,,,,,,,NWIS
USGS-MI,USGS Michigan Water Science Center,nwismi.01.01300851,Sample-Routine,Water,Surface Water,2013-05-22,10:34:00,EST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-041482663,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,,Chloride,Dissolved,58.4,mg/l,,Accepted,,Actual,,,,,,,00940,,,,,,,,,,University of Wisconsin Extension,,,,,,,NWIS
USGS-MI,USGS Michigan Water Science Center,nwismi.01.01300845,Sample-Routine,Water,Surface Water,2013-04-19,03:40:00,EST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-041482663,,,"Stable, normal stage",Storm,USGS,USGS,USGS,Unknown,,Chloride,Dissolved,13.6,mg/l,,Accepted,,Actual,,,,,,,00940,,,,,,,,,,University of Wisconsin Extension,,,,,,,NWIS
USGS-MI,USGS Michigan Water Science Center,nwismi.01.01300839,Sample-Routine,Water,Surface Water,2013-04-25,00:25:00,EST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-041482663,,,"Stable, normal stage",Storm,USGS,USGS,USGS,Unknown,,Chloride,Dissolved,23.1,mg/l,,Accepted,,Actual,,,,,,,00940,,,,,,,,,,University of Wisconsin Extension,,,,,,,NWIS
USGS-MI,USGS Michigan Water Science Center,nwismi.01.01400090,Sample-Composite Without Parents,Water,Surface Water,2013-11-06,10:45:00,EST,2013-11-07,08:30:59,EST,,,,,,,,,U.S. Geological Survey,USGS-0414826545,,,"Stable, normal stage",Storm,USGS,USGS,USGS,Unknown,,Chloride,Dissolved,12.7,mg/l,,Accepted,,Actual,,,,,,,00940,,,,,,,,,,University of Wisconsin Extension,,,,,,,NWIS
USGS-MI,USGS Michigan Water Science Center,nwismi.01.01300841,Sample-Composite Without Parents,Water,Surface Water,2013-04-23,19:05:00,EST,2013-04-26,05:35:59,EST,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-0414826545,,,"Stable, normal stage",Storm,USGS,USGS,USGS,Unknown,,Chloride,Dissolved,5.7,mg/l,,Accepted,,Actual,,,,,,,00940,,,,,,,,,,University of Wisconsin Extension,,,,,,,NWIS
USGS-MI,USGS Michigan Water Science Center,nwismi.01.01300842,Sample-Routine,Water,Surface Water,2013-04-25,10:00:00,EST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-0414826545,,,"Stable, normal stage",Storm,USGS,USGS,USGS,Unknown,,Chloride,Dissolved,6.8,mg/l,,Accepted,,Actual,,,,,,,00940,,,,,,,,,,University of Wisconsin Extension,,,,,,,NWIS
USGS-MI,USGS Michigan Water Science Center,nwismi.01.01300855,Sample-Routine,Water,Surface Water,2013-05-31,04:55:00,EST,,,,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-0414826545,,,"Stable, normal stage",Storm,USGS,USGS,USGS,Unknown,,Chloride,Dissolved,10.0,mg/l,,Accepted,,Actual,,,,,,,00940,,,,,,,,,,University of Wisconsin Extension,,,,,,,NWIS
USGS-MI,USGS Michigan Water Science Center,nwismi.01.01301021,Sample-Composite Without Parents,Water,Surface Water,2013-06-13,00:05:00,EST,2013-06-14,21:45:59,EST,,,,,,,,,U.S. Geological Survey-Water Resources Discipline,USGS-0414826545,,,"Stable, normal stage",Storm,USGS,USGS,USGS,Unknown,,Chloride,Dissolved,8.7,mg/l,,Accepted,,Actual,,,,,,,00940,,,,,,,,,,University of Wisconsin Extension,,,,,,,NWIS
USGS-MI,USGS Michigan Water Science Center,nwismi.01.01400205,Sample-Routine,Water,Surface Water,2014-01-11,11:45:00,EST,,,,,,,,,,,,U.S. Geological Survey,USGS-041482663,,,"Stable, normal stage",Storm,USGS,USGS,USGS,Unknown,,Chloride,Dissolved,100,mg/l,,Preliminary,,Actual,,,,,,,00940,,,,,,,,,,University of Wisconsin Extension,,,,,,,NWIS
USGS-MI,USGS Michigan Water Science Center,nwismi.01.01400213,Sample-Routine,Water,Surface Water,2014-02-23,14:10:00,EST,,,,,,,,,,,,U.S. Geological Survey,USGS-041482663,,,"Stable, normal stage",Storm,USGS,USGS,USGS,Unknown,,Chloride,Dissolved,89.0,mg/l,,Preliminary,,Actual,,,,,,,00940,,,,,,,,,,University of Wisconsin Extension,,,,,,,NWIS
USGS-MI,USGS Michigan Water Science Center,nwismi.01.01400206,Sample-Routine,Water,Surface Water,2014-01-11,23:45:00,EST,,,,,,,,,,,,U.S. Geological Survey,USGS-041482663,,,"Stable, normal stage",Storm,USGS,USGS,USGS,Unknown,,Chloride,Dissolved,59.0,mg/l,,Preliminary,,Actual,,,,,,,00940,,,,,,,,,,University of Wisconsin Extension,,,,,,,NWIS
USGS-MI,USGS Michigan Water Science Center,nwismi.01.01400317,Sample-Routine,Water,Surface Water,2014-03-10,14:30:00,EST,,,,,,,,,,,,U.S. Geological Survey,USGS-041482663,,,"Stable, normal stage",Storm,USGS,USGS,USGS,Unknown,,Chloride,Dissolved,98.8,mg/l,,Preliminary,,Actual,,,,,,,00940,,,,,,,,,,University of Wisconsin Extension,,,,,,,NWIS
USGS-MI,USGS Michigan Water Science Center,nwismi.01.01400322,Sample-Routine,Water,Surface Water,2014-03-14,11:25:00,EST,,,,,,,,,,,,U.S. Geological Survey,USGS-041482663,,,"Stable, normal stage",Storm,USGS,USGS,USGS,Unknown,,Chloride,Dissolved,49.2,mg/l,,Preliminary,,Actual,,,,,,,00940,,,,,,,,,,University of Wisconsin Extension,,,,,,,NWIS
USGS-MI,USGS Michigan Water Science Center,nwismi.01.01400210,Sample-Routine,Water,Surface Water,2014-02-21,07:10:00,EST,,,,,,,,,,,,U.S. Geological Survey,USGS-041482663,,,"Stable, normal stage",Storm,USGS,USGS,USGS,Unknown,,Chloride,Dissolved,122,mg/l,,Preliminary,,Actual,,,,,,,00940,,,,,,,,,,University of Wisconsin Extension,,,,,,,NWIS
USGS-MI,USGS Michigan Water Science Center,nwismi.01.01400588,Sample-Routine,Water,Surface Water,2014-06-26,14:42:00,EST,,,,,,,,,,,,U.S. Geological Survey,USGS-041482663,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,,Chloride,Dissolved,56.2,mg/l,,Preliminary,,Actual,,,,,,,00940,,,,,,,,,,University of Wisconsin Extension,,,,,,,NWIS
USGS-MI,USGS Michigan Water Science Center,nwismi.01.01400581,Sample-Routine,Water,Surface Water,2014-06-18,19:15:00,EST,,,,,,,,,,,,U.S. Geological Survey,USGS-041482663,,,"Stable, normal stage",Storm,USGS,USGS,USGS,Unknown,,Chloride,Dissolved,21.4,mg/l,,Preliminary,,Actual,,,,,,,00940,,,,,,,,,,University of Wisconsin Extension,,,,,,,NWIS
USGS-MI,USGS Michigan Water Science Center,nwismi.01.01400582,Sample-Routine,Water,Surface Water,2014-06-19,00:45:00,EST,,,,,,,,,,,,U.S. Geological Survey,USGS-041482663,,,"Stable, normal stage",Storm,USGS,USGS,USGS,Unknown,,Chloride,Dissolved,21.9,mg/l,,Preliminary,,Actual,,,,,,,00940,,,,,,,,,,University of Wisconsin Extension,,,,,,,NWIS
USGS-MI,USGS Michigan Water Science Center,nwismi.01.01400585,Sample-Routine,Water,Surface Water,2014-06-21,13:45:00,EST,,,,,,,,,,,,U.S. Geological Survey,USGS-041482663,,,"Stable, normal stage",Storm,USGS,USGS,USGS,Unknown,,Chloride,Dissolved,45.5,mg/l,,Preliminary,,Actual,,,,,,,00940,,,,,,,,,,University of Wisconsin Extension,,,,,,,NWIS
USGS-MI,USGS Michigan Water Science Center,nwismi.01.01400595,Sample-Routine,Water,Surface Water,2014-07-01,05:03:00,EST,,,,,,,,,,,,U.S. Geological Survey,USGS-041482663,,,"Stable, normal stage",Storm,USGS,USGS,USGS,Unknown,,Chloride,Dissolved,33.3,mg/l,,Preliminary,,Actual,,,,,,,00940,,,,,,,,,,University of Wisconsin Extension,,,,,,,NWIS
USGS-MI,USGS Michigan Water Science Center,nwismi.01.01400598,Sample-Routine,Water,Surface Water,2014-07-02,05:03:00,EST,,,,,,,,,,,,U.S. Geological Survey,USGS-041482663,,,"Stable, normal stage",Storm,USGS,USGS,USGS,Unknown,,Chloride,Dissolved,38.9,mg/l,,Preliminary,,Actual,,,,,,,00940,,,,,,,,,,University of Wisconsin Extension,,,,,,,NWIS
USGS-MI,USGS Michigan Water Science Center,nwismi.01.01400602,Sample-Routine,Water,Surface Water,2014-07-07,07:05:00,EST,,,,,,,,,,,,U.S. Geological Survey,USGS-041482663,,,"Stable, normal stage",Storm,USGS,USGS,USGS,Unknown,,Chloride,Dissolved,17.4,mg/l,,Preliminary,,Actual,,,,,,,00940,,,,,,,,,,University of Wisconsin Extension,,,,,,,NWIS
USGS-MI,USGS Michigan Water Science Center,nwismi.01.01400614,Sample-Routine,Water,Surface Water,2014-07-08,12:35:00,EST,,,,,,,,,,,,U.S. Geological Survey,USGS-041482663,,,"Stable, normal stage",Storm,USGS,USGS,USGS,Unknown,,Chloride,Dissolved,8.1,mg/l,,Preliminary,,Actual,,,,,,,00940,,,,,,,,,,University of Wisconsin Extension,,,,,,,NWIS
USGS-MI,USGS Michigan Water Science Center,nwismi.01.01400615,Sample-Routine,Water,Surface Water,2014-07-08,15:20:00,EST,,,,,,,,,,,,U.S. Geological Survey,USGS-041482663,,,"Stable, normal stage",Storm,USGS,USGS,USGS,Unknown,,Chloride,Dissolved,10.6,mg/l,,Preliminary,,Actual,,,,,,,00940,,,,,,,,,,University of Wisconsin Extension,,,,,,,NWIS
USGS-MI,USGS Michigan Water Science Center,nwismi.01.01400629,Sample-Routine,Water,Surface Water,2014-06-19,12:45:00,EST,,,,,,,,,,,,U.S. Geological Survey,USGS-041482663,,,"Stable, normal stage",Storm,USGS,USGS,USGS,Unknown,,Chloride,Dissolved,27.6,mg/l,,Preliminary,,Actual,,,,,,,00940,,,,,,,,,,University of Wisconsin Extension,,,,,,,NWIS
USGS-MI,USGS Michigan Water Science Center,nwismi.01.01500074,Sample-Routine,Water,Surface Water,2014-12-11,11:00:00,EST,,,,,,,,,,,,U.S. Geological Survey,USGS-041482663,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,,Chloride,Dissolved,84.7,mg/l,,Preliminary,,Actual,,,,,,,00940,,,,,,,,,,University of Wisconsin Extension,,,,,,,NWIS
USGS-MI,USGS Michigan Water Science Center,nwismi.01.01400756,Sample-Routine,Water,Surface Water,2014-09-06,02:55:00,EST,,,,,,,,,,,,U.S. Geological Survey,USGS-041482663,,,"Stable, normal stage",Storm,USGS,USGS,USGS,Unknown,,Chloride,Dissolved,111,mg/l,,Preliminary,,Actual,,,,,,,00940,,,,,,,,,,University of Wisconsin Extension,,,,,,,NWIS
USGS-MI,USGS Michigan Water Science Center,nwismi.01.01400762,Sample-Routine,Water,Surface Water,2014-09-13,08:55:00,EST,,,,,,,,,,,,U.S. Geological Survey,USGS-041482663,,,"Stable, normal stage",Storm,USGS,USGS,USGS,Unknown,,Chloride,Dissolved,99.7,mg/l,,Preliminary,,Actual,,,,,,,00940,,,,,,,,,,University of Wisconsin Extension,,,,,,,NWIS
USGS-MI,USGS Michigan Water Science Center,nwismi.01.01400775,Sample-Routine,Water,Surface Water,2014-09-23,12:05:00,EST,,,,,,,,,,,,U.S. Geological Survey,USGS-041482663,,,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,,Chloride,Dissolved,80.7,mg/l,,Preliminary,,Actual,,,,,,,00940,,,,,,,,,,University of Wisconsin Extension,,,,,,,NWIS
USGS-MI,USGS Michigan Water Science Center,nwismi.01.01500068,Sample-Routine,Water,Surface Water,2014-10-15,01:35:00,EST,,,,,,,,,,,,U.S. Geological Survey,USGS-041482663,,,"Stable, normal stage",Storm,USGS,USGS,USGS,Unknown,,Chloride,Dissolved,116,mg/l,,Preliminary,,Actual,,,,,,,00940,,,,,,,,,,University of Wisconsin Extension,,,,,,,NWIS
USGS-MI,USGS Michigan Water Science Center,nwismi.01.01500107,Sample-Routine,Water,Surface Water,2014-11-22,21:10:00,EST,,,,,,,,,,,,U.S. Geological Survey,USGS-041482663,,,"Stable, normal stage",Storm,USGS,USGS,USGS,Unknown,,Chloride,Dissolved,110,mg/l,,Preliminary,,Actual,,,,,,,00940,,,,,,,,,,University of Wisconsin Extension,,,,,,,NWIS
USGS-MI,USGS Michigan Water Science Center,nwismi.01.01400755,Sample-Routine,Water,Surface Water,2014-09-05,18:55:00,EST,,,,,,,,,,,,U.S. Geological Survey,USGS-041482663,,,"Stable, normal stage",Storm,USGS,USGS,USGS,Unknown,,Chloride,Dissolved,67.6,mg/l,,Preliminary,,Actual,,,,,,,00940,,,,,,,,,,University of Wisconsin Extension,,,,,,,NWIS
USGS-MI,USGS Michigan Water Science Center,nwismi.01.01400759,Sample-Routine,Water,Surface Water,2014-09-07,18:55:00,EST,,,,,,,,,,,,U.S. Geological Survey,USGS-041482663,,,"Stable, normal stage",Storm,USGS,USGS,USGS,Unknown,,Chloride,Dissolved,97.7,mg/l,,Preliminary,,Actual,,,,,,,00940,,,,,,,,,,University of Wisconsin Extension,,,,,,,NWIS
USGS-MI,USGS Michigan Water Science Center,nwismi.01.01400761,Sample-Routine,Water,Surface Water,2014-09-13,04:55:00,EST,,,,,,,,,,,,U.S. Geological Survey,USGS-041482663,,,"Stable, normal stage",Storm,USGS,USGS,USGS,Unknown,,Chloride,Dissolved,78.1,mg/l,,Preliminary,,Actual,,,,,,,00940,,,,,,,,,,University of Wisconsin Extension,,,,,,,NWIS
USGS-MI,USGS Michigan Water Science Center,nwismi.01.01400763,Sample-Routine,Water,Surface Water,2014-09-13,12:55:00,EST,,,,,,,,,,,,U.S. Geological Survey,USGS-041482663,,,"Stable, normal stage",Storm,USGS,USGS,USGS,Unknown,,Chloride,Dissolved,125,mg/l,,Preliminary,,Actual,,,,,,,00940,,,,,,,,,,University of Wisconsin Extension,,,,,,,NWIS
USGS-MI,USGS Michigan Water Science Center,nwismi.01.01400771,Sample-Routine,Water,Surface Water,2014-09-21,16:15:00,EST,,,,,,,,,,,,U.S. Geological Survey,USGS-041482663,,,"Stable, normal stage",Storm,USGS,USGS,USGS,Unknown,,Chloride,Dissolved,57.0,mg/l,,Preliminary,,Actual,,,,,,,00940,,,,,,,,,,University of Wisconsin Extension,,,,,,,NWIS
USGS-MI,USGS Michigan Water Science Center,nwismi.01.01500067,Sample-Routine,Water,Surface Water,2014-10-15,00:05:00,EST,,,,,,,,,,,,U.S. Geological Survey,USGS-041482663,,,"Stable, normal stage",Storm,USGS,USGS,USGS,Unknown,,Chloride,Dissolved,111,mg/l,,Preliminary,,Actual,,,,,,,00940,,,,,,,,,,University of Wisconsin Extension,,,,,,,NWIS
USGS-MI,USGS Michigan Water Science Center,nwismi.01.01400765,Sample-Routine,Water,Surface Water,2014-09-14,08:55:00,EST,,,,,,,,,,,,U.S. Geological Survey,USGS-041482663,,,"Stable, normal stage",Storm,USGS,USGS,USGS,Unknown,,Chloride,Dissolved,92.9,mg/l,,Preliminary,,Actual,,,,,,,00940,,,,,,,,,,University of Wisconsin Extension,,,,,,,NWIS
USGS-MI,USGS Michigan Water Science Center,nwismi.01.01400772,Sample-Routine,Water,Surface Water,2014-09-21,20:45:00,EST,,,,,,,,,,,,U.S. Geological Survey,USGS-041482663,,,"Stable, normal stage",Storm,USGS,USGS,USGS,Unknown,,Chloride,Dissolved,57.9,mg/l,,Preliminary,,Actual,,,,,,,00940,,,,,,,,,,University of Wisconsin Extension,,,,,,,NWIS
USGS-MI,USGS Michigan Water Science Center,nwismi.01.01400774,Sample-Routine,Water,Surface Water,2014-09-22,23:45:00,EST,,,,,,,,,,,,U.S. Geological Survey,USGS-041482663,,,"Stable, normal stage",Storm,USGS,USGS,USGS,Unknown,,Chloride,Dissolved,79.5,mg/l,,Preliminary,,Actual,,,,,,,00940,,,,,,,,,,University of Wisconsin Extension,,,,,,,NWIS
USGS-MI,USGS Michigan Water Science Center,nwismi.01.01500069,Sample-Routine,Water,Surface Water,2014-10-15,04:35:00,EST,,,,,,,,,,,,U.S. Geological Survey,USGS-041482663,,,"Stable, normal stage",Storm,USGS,USGS,USGS,Unknown,,Chloride,Dissolved,128,mg/l,,Preliminary,,Actual,,,,,,,00940,,,,,,,,,,University of Wisconsin Extension,,,,,,,NWIS
USGS-MI,USGS Michigan Water Science Center,nwismi.01.01500071,Sample-Routine,Water,Surface Water,2014-10-15,19:35:00,EST,,,,,,,,,,,,U.S. Geological Survey,USGS-041482663,,,"Stable, normal stage",Storm,USGS,USGS,USGS,Unknown,,Chloride,Dissolved,86.2,mg/l,,Preliminary,,Actual,,,,,,,00940,,,,,,,,,,University of Wisconsin Extension,,,,,,,NWIS
